SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH
REF-2015-10,10,1,Juncus balticus,Baltic rush ,30,N,108
REF-2015-10,27,1,Juncus balticus,Baltic rush ,25,N,99
REF-2015-10,9,1,Juncus balticus,Baltic rush ,5,N,
REF-2015-10,23,1,Poa sp.,bluegrass,2,E,
REF-2015-10,21,1,Sagittaria latifolia,broad-leaved arrowhead,2,N,
REF-2015-10,10,2,Sagittaria latifolia,broad-leaved arrowhead,2,N,
REF-2015-10,17,1,Rumex conglomeratus,clustered dock,0.5,E,
REF-2015-10,25,1,Rumex conglomeratus,clustered dock,1,E,
REF-2015-10,15,1,Potentilla egedii,coast silverweed,4,N,
REF-2015-10,9,1,Potentilla egedii,coast silverweed,1,N,
REF-2015-10,20,1,Potentilla egedii,coast silverweed,6,N,
REF-2015-10,25,1,Potentilla egedii,coast silverweed,3,N,
REF-2015-10,8,1,Potentilla egedii,coast silverweed,7,N,
REF-2015-10,24,1,Potentilla egedii,coast silverweed,2,N,
REF-2015-10,3,1,Potentilla egedii,coast silverweed,3,N,
REF-2015-10,23,1,Potentilla egedii,coast silverweed,10,N,
REF-2015-10,6,1,Potentilla egedii,coast silverweed,1,N,
REF-2015-10,11,1,Potentilla egedii,coast silverweed,2,N,
REF-2015-10,7,1,Potentilla egedii,coast silverweed,5,N,
REF-2015-10,15,1,Agrostis capillaris,colonial bentgrass,4,E,
REF-2015-10,14,1,Agrostis capillaris,colonial bentgrass,10,E,
REF-2015-10,9,1,Agrostis capillaris,colonial bentgrass,15,E,
REF-2015-10,20,1,Agrostis capillaris,colonial bentgrass,10,E,
REF-2015-10,17,1,Agrostis capillaris,colonial bentgrass,5,E,
REF-2015-10,8,1,Agrostis capillaris,colonial bentgrass,15,E,
REF-2015-10,24,1,Agrostis capillaris,colonial bentgrass,30,E,
REF-2015-10,3,1,Agrostis capillaris,colonial bentgrass,15,E,
REF-2015-10,23,1,Agrostis capillaris,colonial bentgrass,15,E,
REF-2015-10,11,1,Agrostis capillaris,colonial bentgrass,10,E,
REF-2015-10,13,1,Agrostis capillaris,colonial bentgrass,0.5,E,
REF-2015-10,19,1,Agrostis capillaris,colonial bentgrass,0.5,E,
REF-2015-10,18,1,Agrostis capillaris,colonial bentgrass,2,E,
REF-2015-10,5,1,Agrostis capillaris,colonial bentgrass,1,E,
REF-2015-10,16,1,Agrostis capillaris,colonial bentgrass,0.5,E,
REF-2015-10,12,1,Agrostis capillaris,colonial bentgrass,7,E,
REF-2015-10,4,1,Agrostis capillaris,colonial bentgrass,5,E,
REF-2015-10,22,1,Agrostis capillaris,colonial bentgrass,3,E,
REF-2015-10,17,1,Equisetum arvense,common cattail,2,N,
REF-2015-10,28,1,Equisetum arvense,common cattail,8,N,
REF-2015-10,21,1,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,27,1,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,14,1,Eleocharis palustris,common spike-rush,15,N,
REF-2015-10,17,1,Eleocharis palustris,common spike-rush,2,N,
REF-2015-10,8,1,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,24,1,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,3,1,Eleocharis palustris,common spike-rush,35,N,
REF-2015-10,23,1,Eleocharis palustris,common spike-rush,9,N,108
REF-2015-10,19,1,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,18,1,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,5,1,Eleocharis palustris,common spike-rush,3,N,
REF-2015-10,1,1,Eleocharis palustris,common spike-rush,0.5,N,
REF-2015-10,16,1,Eleocharis palustris,common spike-rush,2,N,
REF-2015-10,12,1,Eleocharis palustris,common spike-rush,3,N,116
REF-2015-10,4,1,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,22,1,Eleocharis palustris,common spike-rush,10,N,
REF-2015-10,1,2,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,3,2,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,4,2,Eleocharis palustris,common spike-rush,4,N,
REF-2015-10,5,2,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,7,2,Eleocharis palustris,common spike-rush,2,N,
REF-2015-10,8,2,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,10,2,Eleocharis palustris,common spike-rush,0.5,N,
REF-2015-10,11,2,Eleocharis palustris,common spike-rush,1,N,
REF-2015-10,2,1,Agrostis stolonifera,creeping bentgrass,15,E,
REF-2015-10,27,1,Symphyotrichum subspicatum,Douglas' aster,8,N,
REF-2015-10,14,1,Symphyotrichum subspicatum,Douglas' aster,2,N,
REF-2015-10,7,1,Symphyotrichum subspicatum,Douglas' aster,4,N,
REF-2015-10,21,1,Myosotis scorpiodes,European forget-me-not ,0.5,E,
REF-2015-10,26,1,Myosotis scorpiodes,European forget-me-not ,0.5,E,
REF-2015-10,15,1,Myosotis scorpiodes,European forget-me-not ,0.5,E,
REF-2015-10,2,1,Myosotis scorpiodes,European forget-me-not ,5,E,
REF-2015-10,23,1,Myosotis scorpiodes,European forget-me-not ,6,E,
REF-2015-10,21,1,Lilaea scilloides,flowering quillwort,0.5,N,
REF-2015-10,19,1,Lilaea scilloides,flowering quillwort,0.5,N,
REF-2015-10,16,1,Lilaea scilloides,flowering quillwort,0.5,N,
REF-2015-10,7,2,Lilaea scilloides,flowering quillwort,0.5,N,
REF-2015-10,21,1,,ground,27,S,
REF-2015-10,26,1,,ground,5,S,
REF-2015-10,27,1,,ground,4,S,
REF-2015-10,17,1,,ground,11.5,S,
REF-2015-10,28,1,,ground,47,S,
REF-2015-10,8,1,,ground,6,S,
REF-2015-10,13,1,,ground,30,S,
REF-2015-10,5,1,,ground,19.5,S,
REF-2015-10,1,1,,ground,17,S,
REF-2015-10,16,1,,ground,46,S,
REF-2015-10,22,1,,ground,20,S,
REF-2015-10,1,2,,ground,15,S,
REF-2015-10,2,2,,ground,100,S,
REF-2015-10,3,2,,ground,99,S,
REF-2015-10,4,2,,ground,10,S,
REF-2015-10,5,2,,ground,35,S,
REF-2015-10,6,2,,ground,99,S,
REF-2015-10,7,2,,ground,81,S,
REF-2015-10,8,2,,ground,75,S,
REF-2015-10,9,2,,ground,93,S,
REF-2015-10,10,2,,ground,80,S,
REF-2015-10,11,2,,ground,98,S,
REF-2015-10,12,2,,ground,97,S,
REF-2015-10,13,2,,ground,88,S,
REF-2015-10,14,2,,ground,95,S,
REF-2015-10,15,2,,ground,100,S,
REF-2015-10,16,2,,ground,99,S,
REF-2015-10,17,2,,ground,99.5,S,
REF-2015-10,18,2,,ground,97,S,
REF-2015-10,19,2,,ground,99.5,S,
REF-2015-10,20,2,,ground,99,S,
REF-2015-10,15,1,Lycopus sp.,horehound,1,U,
REF-2015-10,29,1,Lycopus sp.,horehound,1,U,
REF-2015-10,2,1,Lycopus sp.,horehound,3,U,
REF-2015-10,8,1,Lycopus sp.,horehound,37,U,
REF-2015-10,21,1,Juncus articulatus,jointed rush,5,N,
REF-2015-10,14,1,Juncus articulatus,jointed rush,6,N,
REF-2015-10,17,1,Juncus articulatus,jointed rush,1,N,
REF-2015-10,23,1,Juncus articulatus,jointed rush,0.5,N,
REF-2015-10,1,2,Juncus articulatus,jointed rush,1,N,
REF-2015-10,14,1,,Log,10,S,
REF-2015-10,28,1,,Log,16,S,
REF-2015-10,21,1,Carex lyngbyei,Lyngbye's sedge ,55,N,118
REF-2015-10,26,1,Carex lyngbyei,Lyngbye's sedge ,95,N,
REF-2015-10,15,1,Carex lyngbyei,Lyngbye's sedge ,77,N,
REF-2015-10,10,1,Carex lyngbyei,Lyngbye's sedge ,5,N,
REF-2015-10,27,1,Carex lyngbyei,Lyngbye's sedge ,32,N,167
REF-2015-10,29,1,Carex lyngbyei,Lyngbye's sedge ,45,N,158
REF-2015-10,14,1,Carex lyngbyei,Lyngbye's sedge ,55,N,130
REF-2015-10,9,1,Carex lyngbyei,Lyngbye's sedge ,53,N,172
REF-2015-10,20,1,Carex lyngbyei,Lyngbye's sedge ,90,N,141
REF-2015-10,2,1,Carex lyngbyei,Lyngbye's sedge ,90,N,147
REF-2015-10,17,1,Carex lyngbyei,Lyngbye's sedge ,10,N,152
REF-2015-10,25,1,Carex lyngbyei,Lyngbye's sedge ,40,N,152
REF-2015-10,8,1,Carex lyngbyei,Lyngbye's sedge ,22,N,124
REF-2015-10,24,1,Carex lyngbyei,Lyngbye's sedge ,55,N,142
REF-2015-10,3,1,Carex lyngbyei,Lyngbye's sedge ,7,N,
REF-2015-10,23,1,Carex lyngbyei,Lyngbye's sedge ,7,N,
REF-2015-10,6,1,Carex lyngbyei,Lyngbye's sedge ,80,N,144
REF-2015-10,11,1,Carex lyngbyei,Lyngbye's sedge ,100,N,
REF-2015-10,7,1,Carex lyngbyei,Lyngbye's sedge ,77,N,161
REF-2015-10,13,1,Carex lyngbyei,Lyngbye's sedge ,60,N,
REF-2015-10,19,1,Carex lyngbyei,Lyngbye's sedge ,90,N,
REF-2015-10,18,1,Carex lyngbyei,Lyngbye's sedge ,70,N,
REF-2015-10,5,1,Carex lyngbyei,Lyngbye's sedge ,50,N,
REF-2015-10,1,1,Carex lyngbyei,Lyngbye's sedge ,30,N,
REF-2015-10,16,1,Carex lyngbyei,Lyngbye's sedge ,3,N,
REF-2015-10,12,1,Carex lyngbyei,Lyngbye's sedge ,32,N,
REF-2015-10,4,1,Carex lyngbyei,Lyngbye's sedge ,92,N,
REF-2015-10,22,1,Carex lyngbyei,Lyngbye's sedge ,50,N,
REF-2015-10,1,2,Carex lyngbyei,Lyngbye's sedge ,4,N,
REF-2015-10,4,2,Carex lyngbyei,Lyngbye's sedge ,1,N,
REF-2015-10,5,2,Carex lyngbyei,Lyngbye's sedge ,2,N,
REF-2015-10,6,2,Carex lyngbyei,Lyngbye's sedge ,0.5,N,
REF-2015-10,12,2,Carex lyngbyei,Lyngbye's sedge ,2,N,
REF-2015-10,21,1,Juncus oxymeris,pointed rush,0.5,N,
REF-2015-10,15,1,Juncus oxymeris,pointed rush,5,N,74
REF-2015-10,14,1,Juncus oxymeris,pointed rush,1,N,
REF-2015-10,20,1,Juncus oxymeris,pointed rush,1,N,
REF-2015-10,8,1,Juncus oxymeris,pointed rush,3,N,
REF-2015-10,3,1,Juncus oxymeris,pointed rush,10,N,95
REF-2015-10,23,1,Juncus oxymeris,pointed rush,10,N,
REF-2015-10,7,1,Juncus oxymeris,pointed rush,2,N,
REF-2015-10,1,1,Callitriche stagnalis,pond water-starwort,0.5,E,
REF-2015-10,16,1,Callitriche stagnalis,pond water-starwort,7,E,
REF-2015-10,12,1,Callitriche stagnalis,pond water-starwort,0.5,E,
REF-2015-10,4,1,Callitriche stagnalis,pond water-starwort,2,E,
REF-2015-10,22,1,Callitriche stagnalis,pond water-starwort,0.5,E,
REF-2015-10,1,2,Callitriche stagnalis,pond water-starwort,75,E,
REF-2015-10,2,2,Callitriche stagnalis,pond water-starwort,0.5,E,
REF-2015-10,4,2,Callitriche stagnalis,pond water-starwort,85,E,
REF-2015-10,5,2,Callitriche stagnalis,pond water-starwort,62,E,
REF-2015-10,7,2,Callitriche stagnalis,pond water-starwort,15,E,
REF-2015-10,8,2,Callitriche stagnalis,pond water-starwort,25,E,
REF-2015-10,9,2,Callitriche stagnalis,pond water-starwort,7,E,
REF-2015-10,10,2,Callitriche stagnalis,pond water-starwort,20,E,
REF-2015-10,13,2,Callitriche stagnalis,pond water-starwort,12,E,
REF-2015-10,14,2,Callitriche stagnalis,pond water-starwort,5,E,
REF-2015-10,16,2,Callitriche stagnalis,pond water-starwort,1,E,
REF-2015-10,17,2,Callitriche stagnalis,pond water-starwort,0.5,E,
REF-2015-10,18,2,Callitriche stagnalis,pond water-starwort,3,E,
REF-2015-10,19,2,Callitriche stagnalis,pond water-starwort,0.5,E,
REF-2015-10,20,2,Callitriche stagnalis,pond water-starwort,0.5,E,
REF-2015-10,21,1,Lythrum salicaria,purple loosestrife,1,I,
REF-2015-10,10,1,Lythrum salicaria,purple loosestrife,10,I,
REF-2015-10,27,1,Lythrum salicaria,purple loosestrife,4,I,
REF-2015-10,29,1,Lythrum salicaria,purple loosestrife,7,I,
REF-2015-10,9,1,Lythrum salicaria,purple loosestrife,1,I,
REF-2015-10,2,1,Lythrum salicaria,purple loosestrife,2,I,
REF-2015-10,28,1,Lythrum salicaria,purple loosestrife,3,I,
REF-2015-10,8,1,Lythrum salicaria,purple loosestrife,4,I,
REF-2015-10,24,1,Lythrum salicaria,purple loosestrife,7,I,
REF-2015-10,3,1,Lythrum salicaria,purple loosestrife,14,I,
REF-2015-10,23,1,Lythrum salicaria,purple loosestrife,12,I,
REF-2015-10,7,1,Lythrum salicaria,purple loosestrife,4,I,
REF-2015-10,18,1,Lythrum salicaria,purple loosestrife,17,I,
REF-2015-10,5,1,Lythrum salicaria,purple loosestrife,12,I,
REF-2015-10,12,1,Lythrum salicaria,purple loosestrife,35,I,
REF-2015-10,4,1,Lythrum salicaria,purple loosestrife,2,I,
REF-2015-10,22,1,Lythrum salicaria,purple loosestrife,25,I,
REF-2015-10,1,2,Lythrum salicaria,purple loosestrife,0.5,I,
REF-2015-10,9,1,Epilobium ciliatum,purple-leaved willowherb,1,N,
REF-2015-10,20,1,Epilobium ciliatum,purple-leaved willowherb,1,N,
REF-2015-10,2,1,Epilobium ciliatum,purple-leaved willowherb,1,N,
REF-2015-10,25,1,Epilobium ciliatum,purple-leaved willowherb,0.5,N,
REF-2015-10,24,1,Epilobium ciliatum,purple-leaved willowherb,1,N,
REF-2015-10,6,1,Epilobium ciliatum,purple-leaved willowherb,1,N,
REF-2015-10,21,1,Phalaris arundinacea,reed canarygrass,2,I,
REF-2015-10,15,1,Phalaris arundinacea,reed canarygrass,10,I,
REF-2015-10,29,1,Phalaris arundinacea,reed canarygrass,5,I,
REF-2015-10,28,1,Phalaris arundinacea,reed canarygrass,7,I,
REF-2015-10,7,1,Phalaris arundinacea,reed canarygrass,8,I,
REF-2015-10,11,2,Phalaris arundinacea,reed canarygrass,0.5,I,
REF-2015-10,21,1,Leersia oryzoides,rice cutgrass,4,N,
REF-2015-10,9,1,Leersia oryzoides,rice cutgrass,1,N,
REF-2015-10,17,1,Leersia oryzoides,rice cutgrass,1,N,
REF-2015-10,9,1,Lysichiton americanus,skunk cabbage,7,N,
REF-2015-10,15,1,Galium trifidum,small bedstraw,8,N,
REF-2015-10,10,1,Galium trifidum,small bedstraw,90,N,
REF-2015-10,14,1,Galium trifidum,small bedstraw,1,N,
REF-2015-10,2,1,Galium trifidum,small bedstraw,37,N,
REF-2015-10,17,1,Galium trifidum,small bedstraw,25,N,
REF-2015-10,25,1,Galium trifidum,small bedstraw,55,N,
REF-2015-10,23,1,Galium trifidum,small bedstraw,35,N,
REF-2015-10,6,1,Galium trifidum,small bedstraw,15,N,
REF-2015-10,3,2,Potamogeton pusillus,small pondweed,0.5,N,
REF-2015-10,9,1,Scirpus microcarpus,small-flowered bulrush,5,N,135
REF-2015-10,17,1,Scirpus microcarpus,small-flowered bulrush,20,N,140
REF-2015-10,28,1,Scirpus microcarpus,small-flowered bulrush,7,N,137
REF-2015-10,13,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,10,N,162
REF-2015-10,1,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,35,N,215
REF-2015-10,16,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,40,N,170
REF-2015-10,12,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,5,N,159
REF-2015-10,22,1,Schoenoplectus tabernaemontani,soft-stemmed bulrush,3,N,
REF-2015-10,1,2,Schoenoplectus tabernaemontani,soft-stemmed bulrush,4,N,
REF-2015-10,7,2,Schoenoplectus tabernaemontani,soft-stemmed bulrush,1,N,
REF-2015-10,17,1,Impatiens campensis,spotted touch-me-not,13,E,
REF-2015-10,28,1,Impatiens campensis,spotted touch-me-not,10,E,
REF-2015-10,25,1,Impatiens campensis,spotted touch-me-not,7,E,
REF-2015-10,6,1,Impatiens campensis,spotted touch-me-not,5,E,
REF-2015-10,14,1,Trifolium wormskioldii,springbank clover,0.5,N,
REF-2015-10,20,2,Equisetum fluviatile,swamp horsetail,0.5,N,
REF-2015-10,21,1,Equisetum fluviatile,swamp horsetail,0.5,N,
REF-2015-10,26,1,Equisetum fluviatile,swamp horsetail,0.5,N,
REF-2015-10,15,1,Equisetum fluviatile,swamp horsetail,0.5,N,
REF-2015-10,10,1,Equisetum fluviatile,swamp horsetail,1,N,
REF-2015-10,27,1,Equisetum fluviatile,swamp horsetail,2,N,
REF-2015-10,29,1,Equisetum fluviatile,swamp horsetail,1,N,
REF-2015-10,14,1,Equisetum fluviatile,swamp horsetail,3,N,
REF-2015-10,9,1,Equisetum fluviatile,swamp horsetail,3,N,
REF-2015-10,20,1,Equisetum fluviatile,swamp horsetail,4,N,
REF-2015-10,2,1,Equisetum fluviatile,swamp horsetail,5,N,
REF-2015-10,17,1,Equisetum fluviatile,swamp horsetail,9,N,
REF-2015-10,28,1,Equisetum fluviatile,swamp horsetail,2,N,
REF-2015-10,25,1,Equisetum fluviatile,swamp horsetail,7,N,
REF-2015-10,8,1,Equisetum fluviatile,swamp horsetail,3,N,
REF-2015-10,24,1,Equisetum fluviatile,swamp horsetail,4,N,
REF-2015-10,3,1,Equisetum fluviatile,swamp horsetail,10,N,
REF-2015-10,23,1,Equisetum fluviatile,swamp horsetail,8,N,
REF-2015-10,6,1,Equisetum fluviatile,swamp horsetail,3,N,
REF-2015-10,7,1,Equisetum fluviatile,swamp horsetail,2,N,
REF-2015-10,13,1,Equisetum fluviatile,swamp horsetail,1,N,
REF-2015-10,19,1,Equisetum fluviatile,swamp horsetail,4,N,
REF-2015-10,18,1,Equisetum fluviatile,swamp horsetail,15,N,
REF-2015-10,5,1,Equisetum fluviatile,swamp horsetail,12,N,
REF-2015-10,1,1,Equisetum fluviatile,swamp horsetail,17,N,
REF-2015-10,12,1,Equisetum fluviatile,swamp horsetail,2,N,
REF-2015-10,4,1,Equisetum fluviatile,swamp horsetail,2,N,
REF-2015-10,22,1,Equisetum fluviatile,swamp horsetail,0.5,N,
REF-2015-10,6,2,Equisetum fluviatile,swamp horsetail,0.5,N,
REF-2015-10,12,2,Equisetum fluviatile,swamp horsetail,0.5,N,
REF-2015-10,10,1,Schedonorus arundinaceus ,tall fescue,33,E,
REF-2015-10,27,1,Schedonorus arundinaceus ,tall fescue,25,E,
REF-2015-10,10,1,Mentha aquatica,water mint,2,E,
REF-2015-10,25,1,Mentha aquatica,water mint,2,E,
REF-2015-10,4,1,Limosella aquatica,water mudwort,0.5,N,
REF-2015-10,22,1,Limosella aquatica,water mudwort,0.5,N,
REF-2015-10,1,2,Limosella aquatica,water mudwort,0.5,N,
REF-2015-10,2,2,Limosella aquatica,water mudwort,0.5,N,
REF-2015-10,4,2,Limosella aquatica,water mudwort,0.5,N,
REF-2015-10,5,2,Limosella aquatica,water mudwort,0.5,N,
REF-2015-10,21,1,Alisma sp.,water-plantain,1,U,
REF-2015-10,19,1,Alisma sp.,water-plantain,2,U,
REF-2015-10,5,1,Alisma sp.,water-plantain,2,U,
REF-2015-10,16,1,Alisma sp.,water-plantain,1,U,
REF-2015-10,7,2,Alisma sp.,water-plantain,1,U,
REF-2015-10,11,2,Alisma sp.,water-plantain,0.5,U,
REF-2015-10,12,2,Alisma sp.,water-plantain,0.5,U,
REF-2015-10,20,2,Alisma sp.,water-plantain,0.5,U,
REF-2015-10,14,1,Festuca occidentalis,western fescue,4,N,
REF-2015-10,8,1,Festuca occidentalis,western fescue,2,N,
REF-2015-10,3,1,Festuca occidentalis,western fescue,5,N,
REF-2015-10,7,1,Festuca occidentalis,western fescue,1,N,
REF-2015-10,19,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
REF-2015-10,5,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
REF-2015-10,22,1,Lilaeopsis occidentalis,western lilaeopsis,1,N,
REF-2015-10,15,1,Iris pseudacorus,yellow iris,2,I,
REF-2015-10,14,1,Iris pseudacorus,yellow iris,4,I,
REF-2015-10,9,1,Iris pseudacorus,yellow iris,8,I,
REF-2015-10,20,1,Iris pseudacorus,yellow iris,5,I,
REF-2015-10,3,1,Iris pseudacorus,yellow iris,9,I,
REF-2015-10,23,1,Iris pseudacorus,yellow iris,22,I,
